Date,WL,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home,Week
8/30/14,W,28,Indiana St.,10,"Bloomington, IN",,2014,Indiana,Indiana University Bloomington,1,1
8/30/14,W,31,Northern Iowa,23,"Iowa City, IA",,2014,Iowa,University of Iowa,1,1
8/30/14,W,52,James Madison (VA),7,"College Park, MD",,2014,Maryland,University of Maryland: College Park,1,1
8/30/14,W,52,Appalachian State (NC),14,"Ann Arbor, MI",,2014,Michigan,University of Michigan,1,1
8/30/14,W,55,Florida Atlantic,7,"Lincoln, NE",,2014,Nebraska,University of Nebraska - Lincoln,1,1
8/30/14,L,24,California,31,"Evanston, IL",,2014,Northwestern (IL),Northwestern University,1,1
8/30/14,W,34,Navy (MD),17,"Columbus, OH",,2014,Ohio St.,Ohio State University: Columbus Campus,0,1
8/30/14,W,26,Central Florida,24,"State College, PA",,2014,Penn St.,The Pennsylvania State University,1,1
8/30/14,W,43,Western Michigan,34,"West Lafayette, IN",,2014,Purdue (IN),Purdue University,1,1
8/30/14,L,24,Louisiana St.,28,"Madison, WI",,2014,Wisconsin,University of Wisconsin-Madison,1,1
8/30/14,L,7,Nebraska,55,"Fort Lauderdale, FL",,2014,Florida Atlantic,Florida Atlantic University,0,1
8/30/14,L,12,Bethune-Cookman (FL),14,"Miami, FL",,2014,Florida International,Florida International University,1,1
8/30/14,L,16,Oklahoma,48,"Ruston, LA",,2014,Louisiana Tech,Louisiana Tech University,0,1
8/30/14,W,42,Miami (OH),27,"Huntington, WV",,2014,Marshall (WV),Marshall University,0,1
8/30/14,W,61,Savannah St. (GA),7,"Murfreesboro, TN",,2014,Middle Tennessee St.,Middle Tennessee State University,1,1
8/30/14,L,7,Texas,38,"Denton, TX",,2014,North Texas,University of North Texas,0,1
8/30/14,W,41,Hampton (VA),28,Old Dominion (VA),,2014,Old Dominion (VA),Old Dominion University,1,1
8/30/14,L,17,Notre Dame (IN),48,"Houston, TX",,2014,Rice (TX),Rice University,0,1
8/30/14,L,0,Mississippi St.,49,"Hattiesburg, MS",,2014,Southern Mississippi,University of Southern Mississippi,0,1
