Date,WL,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home,Week
10/18/14,L,27,Campbell (NC),28,"Davidson, NC",,2014,Davidson (NC),Davidson College,0,8
10/18/14,W,41,Morehead St. (KY),7,"Dayton, OH",,2014,Dayton (OH),University of Dayton,1,8
10/18/14,W,17,Valparaiso (IN),9,"Des Moines, IA",,2014,Drake (IA),Drake University,0,8
10/18/14,W,30,Stetson (FL),7,"Jacksonville, FL",,2014,Jacksonville (FL),Jacksonville University,0,8
10/18/14,L,7,Dayton (OH),41,"Morehead, KY",,2014,Morehead St. (KY),Morehead State University,0,8
10/18/14,W,27,Butler (IN),21,"San Diego, CA",,2014,San Diego (CA),University of San Diego,0,8
10/18/14,L,7,Jacksonville (FL),30,"Deland, FL",,2014,Stetson (FL),,1,8
10/18/14,L,9,Drake (IA),17,"Valparaiso, IN",,2014,Valparaiso (IN),Valparaiso University,1,8
10/18/14,W,34,Citadel (SC),14,"Chattanooga, TN",,2014,Tennessee-Chattanooga,University of Tennessee: Chattanooga,0,8
10/18/14,L,14,Tennessee-Chattanooga,34,"Charleston, SC",,2014,Citadel (SC),The Citadel,1,8
10/18/14,L,10,South Carolina,41,"Greenville, SC",,2014,Furman (SC),Furman University,0,8
10/18/14,L,21,Western Carolina (NC),35,"Macon, GA",,2014,Mercer (GA),,1,8
10/18/14,L,20,Wofford (SC),24,"Birmingham, AL",,2014,Samford (AL),Samford University,1,8
10/18/14,L,41,Gardner-Webb (NC),47,"Lexington, VA",,2014,Virginia Military Institute,Virginia Military Institute,1,8
10/18/14,W,35,Mercer (GA),21,"Cullowhee, NC",,2014,Western Carolina (NC),Western Carolina University,0,8
10/18/14,W,24,Samford (AL),20,"Spartanburg, SC",,2014,Wofford (SC),Wofford College,0,8
10/18/14,L,20,McNeese St. (LA),31,"Abilene, TX",,2014,Abilene Christian (TX),Abilene Christian University,0,8
10/18/14,L,24,Southeastern Louisiana,41,"Conway, AR",,2014,Central Arkansas,University of Central Arkansas,0,8
10/18/14,L,27,Stephen F. Austin (TX),59,"Houston, TX",,2014,Houston Baptist (TX),,1,8
10/18/14,W,63,Nicholls St. (LA),21,"Beaumont, TX",,2014,Lamar (TX),Lamar University,0,8
10/18/14,W,31,Abilene Christian (TX),20,"Lake Charles, LA",,2014,McNeese St. (LA),McNeese State University,1,8
10/18/14,L,21,Lamar (TX),63,"Thibodaux, LA",,2014,Nicholls St. (LA),Nicholls State University,1,8
10/18/14,W,31,Sam Houston St. (TX),27,"Natchitoches, LA",,2014,Northwestern St. (LA),Northwestern State University,1,8
10/18/14,L,27,Northwestern St. (LA),31,"Huntsville, TX",,2014,Sam Houston St. (TX),Sam Houston State University,0,8
10/18/14,W,41,Central Arkansas,24,"Hammond, LA",,2014,Southeastern Louisiana,Southeastern Louisiana University,1,8
10/18/14,W,59,Houston Baptist (TX),27,"Nacogdoches, TX",,2014,Stephen F. Austin (TX),Stephen F. Austin State University,0,8
10/18/14,W,40,Texas Southern,25,"Lorman, MS",,2014,Alcorn St. (MS),Alcorn State University,1,8
10/18/14,L,39,Grambling St. (LA),63,"Pine Bluff, AR",,2014,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,0,8
10/18/14,W,63,Arkansas-Pine Bluff,39,"Grambling, LA",,2014,Grambling St. (LA),Grambling State University,1,8
10/18/14,L,19,Prairie View A&M (TX),52,"Itta Bena, MS",,2014,Mississippi Valley St.,Mississippi Valley State University,1,8
10/18/14,W,52,Mississippi Valley St.,19,"Prairie View, TX",,2014,Prairie View A&M (TX),Prairie View A&M University,0,8
10/18/14,L,25,Alcorn St. (MS),40,"Houston, TX",,2014,Texas Southern,Texas Southern University,0,8
10/21/14,L,40,Louisiana-Lafayette,55,"Jonesboro, AR",,2014,Arkansas St.,Arkansas State University,0,9
10/21/14,W,55,Arkansas St.,40,"Lafayette, LA",,2014,Louisiana-Lafayette,University of Louisiana at Lafayette,1,9
10/23/14,L,21,East Carolina (NC),31,"East Hartford, CT",,2014,Connecticut,University of Connecticut,0,9
10/23/14,W,31,Connecticut,21,"Greenville, NC",,2014,East Carolina (NC),East Carolina University,1,9
10/23/14,W,30,Virginia Tech,6,"Miami Gardens, FL",,2014,Miami (FL),University of Miami,0,9
10/23/14,L,6,Miami (FL),30,"Blacksburg, VA",,2014,Virginia Tech,Virginia Polytechnic Institute & State University,1,9
10/24/14,W,34,South Florida,17,"Cincinnati, OH",,2014,Cincinnati (OH),University of Cincinnati,1,9
10/24/14,L,17,Cincinnati (OH),34,"Tampa, FL",,2014,South Florida,University of South Florida,0,9
10/24/14,L,30,Boise St. (ID),55,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,0,9
10/24/14,W,55,Brigham Young (UT),30,"Boise, ID",,2014,Boise St. (ID),Boise State University,1,9
10/24/14,L,41,Oregon,59,"Berkeley, CA",,2014,California,University of California: Berkeley,1,9
10/24/14,W,59,California,41,"Eugene, OR",,2014,Oregon,University of Oregon,0,9
10/24/14,W,27,Troy (AL),13,"Mobile, AL",,2014,South Alabama,University of South Alabama,1,9
10/24/14,L,13,South Alabama,27,"Troy, AL",,2014,Troy (AL),Troy University,0,9
10/25/14,W,48,Southern Methodist (TX),10,"Memphis, TN",,2014,Memphis (TN),University of Memphis,0,9
10/25/14,L,10,Memphis (TN),48,"Dallas, TX",,2014,Southern Methodist (TX),Southern Methodist University,1,9
10/25/14,L,14,Central Florida,34,"Philadelphia, PA",,2014,Temple (PA),Temple University,0,9
10/25/14,W,34,Temple (PA),14,"Orlando, FL",,2014,Central Florida,University of Central Florida,1,9
10/25/14,W,23,Wake Forest (NC),17,"Chestnut Hill, MA",,2014,Boston College (MA),Boston College,0,9
10/25/14,W,16,Syracuse (NY),6,"Clemson, SC",,2014,Clemson (SC),Clemson University,1,9
10/25/14,W,56,Pittsburgh (PA),28,"Atlanta, GA",,2014,Georgia Tech,Georgia Institute of Technology,0,9
10/25/14,W,28,Virginia,27,"Chapel Hill, NC",,2014,North Carolina,North Carolina State University,0,9
10/25/14,L,28,Georgia Tech,56,"Pittsburgh, PA",,2014,Pittsburgh (PA),University of Pittsburgh,1,9
10/25/14,L,6,Clemson (SC),16,"Syracuse, NY",,2014,Syracuse (NY),Syracuse University,0,9
10/25/14,L,27,North Carolina,28,"Charlottesville, VA",,2014,Virginia,University of Virginia,1,9
10/25/14,L,17,Boston College (MA),23,"Winston-Salem, NC",,2014,Wake Forest (NC),Wake Forest University,1,9
10/25/14,W,23,Texas,0,"Manhattan, KS",,2014,Kansas St.,Kansas State University,1,9
10/25/14,L,10,West Virginia,34,"Stillwater, OK",,2014,Oklahoma St.,Oklahoma State University,1,9
10/25/14,W,82,Texas Tech,27,"Fort Worth, TX",,2014,Texas Christian,Texas Christian University,1,9
10/25/14,L,0,Kansas St.,23,"Austin, TX",,2014,Texas,The University of Texas at Austin,0,9
10/25/14,L,27,Texas Christian,82,"Lubbock, TX",,2014,Texas Tech,Texas Tech University,0,9
10/25/14,W,34,Oklahoma St.,10,"Morgantown, WV",,2014,West Virginia,West Virginia University,0,9
10/25/14,W,28,Minnesota,24,"Champaign, IL",,2014,Illinois,University of Illinois at Urbana-Champaign,1,9
10/25/14,L,7,Wisconsin,52,"College Park, MD",,2014,Maryland,University of Maryland: College Park,0,9
10/25/14,L,11,Michigan St.,35,"Ann Arbor, MI",,2014,Michigan,University of Michigan,0,9
10/25/14,W,35,Michigan,11,"East Lansing, MI",,2014,Michigan St.,Michigan State University,1,9
10/25/14,L,24,Illinois,28,"Minneapolis, MN",,2014,Minnesota,University of Minnesota: Twin Cities,0,9
10/25/14,W,42,Rutgers (NJ),24,"Lincoln, NE",,2014,Nebraska,University of Nebraska - Lincoln,1,9
10/25/14,W,31,Penn St.,24,"Columbus, OH",,2014,Ohio St.,Ohio State University: Columbus Campus,0,9
10/25/14,L,24,Ohio St.,31,"State College, PA",,2014,Penn St.,The Pennsylvania State University,1,9
10/25/14,L,24,Nebraska,42,"New Brunswick, NJ",,2014,Rutgers (NJ),Rutgers,0,9
10/25/14,W,52,Maryland,7,"Madison, WI",,2014,Wisconsin,University of Wisconsin-Madison,1,9
10/25/14,L,16,Marshall (WV),35,"Fort Lauderdale, FL",,2014,Florida Atlantic,Florida Atlantic University,0,9
10/25/14,W,31,Southern Mississippi,20,"Ruston, LA",,2014,Louisiana Tech,Louisiana Tech University,0,9
10/25/14,W,35,Florida Atlantic,16,"Huntington, WV",,2014,Marshall (WV),Marshall University,1,9
10/25/14,L,21,Rice (TX),41,"Denton, TX",,2014,North Texas,University of North Texas,0,9
10/25/14,L,51,Western Kentucky,66,Old Dominion (VA),,2014,Old Dominion (VA),Old Dominion University,0,9
10/25/14,W,41,North Texas,21,"Houston, TX",,2014,Rice (TX),Rice University,1,9
10/25/14,L,20,Louisiana Tech,31,"Hattiesburg, MS",,2014,Southern Mississippi,University of Southern Mississippi,1,9
10/25/14,L,17,Arkansas,45,"Birmingham, AL",,2014,Alabama-Birmingham,The University of Alabama at Birmingham,0,9
10/25/14,W,34,Texas-San Antonio,0,"El Paso, TX",,2014,Texas-El Paso,University of Texas-El Paso,0,9
10/25/14,L,0,Texas-El Paso,34,"San Antonio, TX",,2014,Texas-San Antonio,University of Texas at San Antonio,1,9
10/25/14,W,66,Old Dominion (VA),51,"Bowling Green, KY",,2014,Western Kentucky,Western Kentucky University,1,9
10/25/14,W,41,San Jose St. (CA),31,"Annapolis, MD",,2014,Navy (MD),United States Naval Academy,1,9
10/25/14,L,21,Ball St. (IN),35,"Akron, OH",,2014,Akron (OH),University of Akron,0,9
10/25/14,W,35,Akron (OH),21,"Muncie, IN",,2014,Ball St. (IN),Ball State University,1,9
10/25/14,L,14,Central Michigan,20,"Buffalo, NY",,2014,Buffalo (NY),State University of New York at Buffalo,1,9
10/25/14,W,20,Buffalo (NY),14,"Mount Pleasant, MI",,2014,Central Michigan,Central Michigan University,0,9
10/25/14,L,17,Northern Illinois,28,"Ypsilanti, MI",,2014,Eastern Michigan,Eastern Michigan University,1,9
10/25/14,L,3,Miami (OH),10,"Kent, OH",,2014,Kent St. (OH),Kent State University,0,9
10/25/14,L,35,Toledo (OH),42,"Foxboro, MA",,2014,Massachusetts,University of Massachusetts Amherst,0,9
10/25/14,W,10,Kent St. (OH),3,"Oxford, OH",,2014,Miami (OH),Miami University: Oxford Campus,1,9
10/25/14,W,28,Eastern Michigan,17,"DeKalb, IL",,2014,Northern Illinois,Northern Illinois University,0,9
10/25/14,L,21,Western Michigan,42,"Athens, OH",,2014,Ohio,Ohio University,0,9
10/25/14,W,42,Massachusetts,35,"Toledo, OH",,2014,Toledo (OH),University of Toledo,1,9
10/25/14,W,42,Ohio,21,"Kalamazoo, MI",,2014,Western Michigan,Western Michigan University,1,9
10/25/14,W,45,Wyoming,31,"Fort Collins, CO",,2014,Colorado St.,Colorado State University,1,9
10/25/14,L,31,Navy (MD),41,NA,,2014,NA,NA,0,9
10/25/14,L,20,Utah St.,34,"Las Vegas, NV",,2014,Nevada-Las Vegas,University of Nevada: Las Vegas,0,9
10/25/14,W,34,Nevada-Las Vegas,20,"Logan, UT",,2014,Utah St.,Utah State University,1,9
10/25/14,L,31,Colorado St.,45,"Laramie, WY",,2014,Wyoming,University of Wyoming,0,9
10/25/14,W,59,Washington St.,37,"Tucson, AZ",,2014,Arizona,University of Arizona,0,9
10/25/14,W,24,Washington,10,"Tempe, AZ",,2014,Arizona St.,Arizona State University,0,9
10/25/14,L,37,UCLA,40,"Boulder, CO",,2014,Colorado,University of Colorado at Boulder,1,9
10/25/14,L,14,Stanford (CA),38,"Corvallis, OR",,2014,Oregon St.,Oregon State University,0,9
10/25/14,W,38,Oregon St.,14,"Stanford, CA",,2014,Stanford (CA),Stanford University,1,9
10/25/14,W,40,Colorado,37,"Pasadena, CA",,2014,UCLA,University of California: Los Angeles,0,9
10/25/14,L,21,Utah,24,"Los Angeles, CA",,2014,Southern California,University of Southern California,0,9
10/25/14,W,24,Southern California,21,"Salt Lake City, UT",,2014,Utah,University of Utah,1,9
10/25/14,L,10,Arizona St.,24,"Seattle, WA",,2014,Washington,University of Washington,1,9
10/25/14,L,37,Arizona,59,"Pullman, WA",,2014,Washington St.,Washington State University,1,9
10/25/14,W,34,Tennessee,20,"Tuscaloosa, AL",,2014,Alabama,The University of Alabama,0,9
10/25/14,W,45,Alabama-Birmingham,17,"Fayetteville, AR",,2014,Arkansas,University of Arkansas,1,9
10/25/14,W,42,South Carolina,35,"Auburn, AL",,2014,Auburn (AL),Auburn University,1,9
10/25/14,L,31,Mississippi St.,45,"Lexington, KY",,2014,Kentucky,University of Kentucky,1,9
10/25/14,W,10,Mississippi,7,"Baton Rouge, LA",,2014,Louisiana St.,Louisiana State University and Agricultural and Mechanical College,1,9
10/25/14,W,45,Kentucky,31,"Starkville, MS",,2014,Mississippi St.,Mississippi State University,0,9
10/25/14,W,24,Vanderbilt (TN),14,"Columbia, MO",,2014,Missouri,University of Missouri: Columbia,1,9
10/25/14,L,7,Louisiana St.,10,"Oxford, MS",,2014,Mississippi,University of Mississippi,0,9
10/25/14,L,35,Auburn (AL),42,"Columbia, SC",,2014,South Carolina,University of South Carolina-Columbia,0,9
10/25/14,L,20,Alabama,34,"Knoxville, TN",,2014,Tennessee,University of Tennessee: Knoxville,1,9
10/25/14,L,14,Missouri,24,"Nashville, TN",,2014,Vanderbilt (TN),Vanderbilt University,0,9
10/25/14,W,69,Georgia St.,31,"Statesboro, GA",,2014,Georgia Southern,Georgia Southern University,0,9
10/25/14,L,31,Georgia Southern,69,"Atlanta, GA",,2014,Georgia St.,Georgia State University,1,9
10/25/14,L,18,Texas St.,22,"Monroe, LA",,2014,Louisiana-Monroe,University of Louisiana at Monroe,1,9
10/25/14,W,22,Louisiana-Monroe,18,"San Marcos, TX",,2014,Texas St.,Texas State University-San Marcos,0,9
10/25/14,W,41,Montana,21,"San Luis Obispo, CA",,2014,Cal Poly-San Luis Obispo,California Polytechnic State University: San Luis Obispo,1,9
10/25/14,L,27,Northern Arizona,28,"Cheney, WA",,2014,Eastern Washington,Eastern Washington University,0,9
10/25/14,W,46,Northern Colorado,12,"Pocatello, ID",,2014,Idaho St.,Idaho State University,0,9
10/25/14,L,21,Cal Poly-San Luis Obispo,41,"Missoula, MT",,2014,Montana,University of Montana-Missoula,0,9
10/25/14,L,17,Southern Utah,35,"Grand Forks, ND",,2014,North Dakota,University of North Dakota,0,9
10/25/14,W,28,Eastern Washington,27,"Flagstaff, AZ",,2014,Northern Arizona,Northern Arizona University,1,9
10/25/14,L,12,Idaho St.,46,"Greeley, CO",,2014,Northern Colorado,University of Northern Colorado,1,9
10/25/14,W,30,Weber St. (UT),17,"Portland, OR",,2014,Portland St. (OR),Portland State University,0,9
10/25/14,W,35,North Dakota,17,"Cedar City, UT",,2014,Southern Utah,Southern Utah University,1,9
10/25/14,L,17,Portland St. (OR),30,"Ogden, UT",,2014,Weber St. (UT),Weber State University,1,9
10/25/14,L,22,Coastal Carolina (SC),43,"Charleston, SC",,2014,Charleston Southern (SC),Charleston Southern University,0,9
10/25/14,W,43,Charleston Southern (SC),22,"Conway, SC",,2014,Coastal Carolina (SC),Coastal Carolina University,1,9
10/25/14,L,0,Liberty (VA),34,"Boiling Springs, NC",,2014,Gardner-Webb (NC),Gardner-Webb University,0,9
10/25/14,W,34,Gardner-Webb (NC),0,"Lynchburg, VA",,2014,Liberty (VA),Liberty University,1,9
10/25/14,L,12,Presbyterian (SC),18,"West Long Branch, NJ",,2014,Monmouth (NJ),Monmouth University,0,9
10/25/14,W,18,Monmouth (NJ),12,"Clinton, SC",,2014,Presbyterian (SC),Presbyterian College,1,9
10/25/14,W,24,Colgate (NY),17,"Albany, NY",,2014,SUNY-Albany (NY),State University of New York at Albany,1,9
10/25/14,L,17,William & Mary (VA),31,"Newark, DE",,2014,Delaware,University of Delaware,0,9
10/25/14,L,10,Richmond (VA),30,"Elon, NC",,2014,Elon (NC),Elon University,1,9
10/25/14,W,48,North Carolina-Charlotte,40,"Harrisonburg, VA",,2014,James Madison (VA),James Madison University,0,9
10/25/14,W,20,Rhode Island,14,"Orono, ME",,2014,Maine,University of Maine,0,9
10/25/14,W,28,SUNY-Stony Brook (NY),20,"Durham, NH",,2014,New Hampshire,University of New Hampshire,1,9
10/25/14,L,14,Maine,20,"Kingston, RI",,2014,Rhode Island,University of Rhode Island,1,9
10/25/14,W,30,Elon (NC),10,"Richmond, VA",,2014,Richmond (VA),University of Richmond,0,9
10/25/14,L,20,New Hampshire,28,"Stony Brook, NY",,2014,SUNY-Stony Brook (NY),State University of New York at Stony Brook,0,9
10/25/14,W,48,Morgan St. (MD),28,"Villanova, PA",,2014,Villanova (PA),Villanova University,1,9
10/25/14,W,31,Delaware,17,"Williamsburg, VA",,2014,William & Mary (VA),College of William and Mary,1,9
10/25/14,L,40,James Madison (VA),48,"Charlotte, NC",,2014,North Carolina-Charlotte,The University of North Carolina at Charlotte,1,9
10/25/14,W,42,Cornell (NY),16,"Providence, RI",,2014,Brown (RI),Brown University,1,9
10/25/14,L,7,Dartmouth (NH),27,"New York, NY",,2014,Columbia (NY),Columbia University: Columbia College,1,9
10/25/14,L,16,Brown (RI),42,"Ithaca, NY",,2014,Cornell (NY),Cornell University,0,9
10/25/14,W,27,Columbia (NY),7,"Hanover, NH",,2014,Dartmouth (NH),Dartmouth College,0,9
10/25/14,W,49,Princeton (NJ),7,"Cambridge, MA",,2014,Harvard (MA),Harvard University,0,9
10/25/14,L,21,Yale (CT),43,"Philadelphia, PA",,2014,Pennsylvania,University of Pennsylvania,0,9
10/25/14,L,7,Harvard (MA),49,"Princeton, NJ",,2014,Princeton (NJ),Princeton University,1,9
10/25/14,W,43,Pennsylvania,21,"New Haven, CT",,2014,Yale (CT),Yale University,1,9
10/25/14,L,14,South Carolina St.,20,"Daytona Beach, FL",,2014,Bethune-Cookman (FL),Bethune-Cookman College,0,9
10/25/14,L,0,Hampton (VA),23,"Dover, DE",,2014,Delaware St.,Delaware State University,1,9
10/25/14,L,21,North Carolina A&T,40,"Tallahassee, FL",,2014,Florida A&M,Florida Agricultural and Mechanical University,0,9
10/25/14,W,23,Delaware St.,0,"Hampton, VA",,2014,Hampton (VA),Hampton University,0,9
10/25/14,L,28,Villanova (PA),48,"Baltimore, MD",,2014,Morgan St. (MD),Morgan State University,0,9
10/25/14,W,42,Savannah St. (GA),14,"Durham, NC",,2014,North Carolina Central,North Carolina Central University,1,9
10/25/14,W,40,Florida A&M,21,"Greensboro, NC",,2014,North Carolina A&T,North Carolina Agricultural and Technical State University,1,9
10/25/14,L,14,North Carolina Central,42,"Savannah, GA",,2014,Savannah St. (GA),Savannah State University,0,9
10/25/14,W,20,Bethune-Cookman (FL),14,"Orangeburg, SC",,2014,South Carolina St.,South Carolina State University,1,9
10/25/14,W,21,Missouri St.,7,"Normal, IL",,2014,Illinois St.,Illinois State University,1,9
10/25/14,W,41,Southern Illinois,26,"Terre Haute, IN",,2014,Indiana St.,Indiana State University,0,9
10/25/14,L,7,Illinois St.,21,"Springfield, MO",,2014,Missouri St.,Missouri State University,0,9
10/25/14,W,47,South Dakota,7,"Fargo, ND",,2014,North Dakota St.,North Dakota State University,0,9
10/25/14,W,27,Western Illinois,13,"Cedar Falls, IA",,2014,Northern Iowa,University of Northern Iowa,0,9
10/25/14,L,7,North Dakota St.,47,"Vermillion, SD",,2014,South Dakota,University of South Dakota,1,9
10/25/14,L,27,Youngstown St. (OH),30,"Brookings, SD",,2014,South Dakota St.,South Dakota State University,1,9
10/25/14,L,26,Indiana St.,41,"Carbondale, IL",,2014,Southern Illinois,Southern Illinois University Carbondale,1,9
10/25/14,L,13,Northern Iowa,27,"Macomb, IL",,2014,Western Illinois,Western Illinois University,1,9
10/25/14,W,30,South Dakota St.,27,"Youngstown, OH",,2014,Youngstown St. (OH),Youngstown State University,0,9
10/25/14,W,42,Robert Morris (PA),9,"Smithfield, RI",,2014,Bryant (RI),Bryant College,1,9
10/25/14,L,10,Wagner (NY),20,"New Britain, CT",,2014,Central Connecticut St.,Central Connecticut State University,1,9
10/25/14,L,9,Bryant (RI),42,"Moon Township, PA",,2014,Robert Morris (PA),Robert Morris College,0,9
10/25/14,W,30,Sacred Heart (CT),27,"Loretto, PA",,2014,Saint Francis (PA),Saint Francis University,0,9
10/25/14,W,20,Central Connecticut St.,10,"Staten Island, NY",,2014,Wagner (NY),Wagner College,0,9
10/25/14,L,7,Tennessee-Martin,37,"Clarksville, TN",,2014,Austin Peay St. (TN),Austin Peay State University,0,9
10/25/14,W,33,Southeast Missouri St.,21,"Richmond, KY",,2014,Eastern Kentucky,Eastern Kentucky University,1,9
10/25/14,W,49,Tennessee Tech,3,"Jacksonville, AL",,2014,Jacksonville St. (AL),Jacksonville State University,1,9
10/25/14,L,21,Eastern Kentucky,33,"Cape Girardeau, MO",,2014,Southeast Missouri St.,Southeast Missouri State University,0,9
10/25/14,L,3,Eastern Illinois,28,"Nashville, TN",,2014,Tennessee St.,Tennessee State University,0,9
10/25/14,L,3,Jacksonville St. (AL),49,"Cookeville, TN",,2014,Tennessee Tech,Tennessee Technological University,0,9
10/25/14,W,37,Austin Peay St. (TN),7,"Martin, TN",,2014,Tennessee-Martin,University of Tennessee: Martin,1,9
10/25/14,W,22,Georgetown (DC),17,"Lewisburg, PA",,2014,Bucknell (PA),Bucknell University,0,9
10/25/14,L,17,SUNY-Albany (NY),24,"Hamilton, NY",,2014,Colgate (NY),Colgate University,0,9
10/25/14,W,48,Lehigh (PA),27,"New York, NY",,2014,Fordham (NY),Fordham University,0,9
10/25/14,L,17,Bucknell (PA),22,"Washington, DC",,2014,Georgetown (DC),Georgetown University,1,9
10/25/14,L,14,Holy Cross (MA),24,"Easton, PA",,2014,Lafayette (PA),Lafayette College,1,9
10/25/14,L,27,Fordham (NY),48,"Bethlehem, PA",,2014,Lehigh (PA),Lehigh University,1,9
10/25/14,L,19,Drake (IA),21,"Indianapolis, IN",,2014,Butler (IN),Butler University,0,9
10/25/14,L,20,Marist (NY),27,"Buies Creek, NC",,2014,Campbell (NC),Campbell University,0,9
10/25/14,L,34,Stetson (FL),40,"Davidson, NC",,2014,Davidson (NC),Davidson College,1,9
10/25/14,L,29,San Diego (CA),40,"Dayton, OH",,2014,Dayton (OH),University of Dayton,0,9
10/25/14,W,21,Butler (IN),19,"Des Moines, IA",,2014,Drake (IA),Drake University,1,9
10/25/14,W,27,Campbell (NC),20,"Poughkeepsie, NY",,2014,Marist (NY),Marist College,1,9
10/25/14,W,48,Valparaiso (IN),47,"Morehead, KY",,2014,Morehead St. (KY),Morehead State University,1,9
10/25/14,W,40,Dayton (OH),29,"San Diego, CA",,2014,San Diego (CA),University of San Diego,1,9
10/25/14,W,40,Davidson (NC),34,"Deland, FL",,2014,Stetson (FL),,0,9
10/25/14,L,47,Morehead St. (KY),48,"Valparaiso, IN",,2014,Valparaiso (IN),Valparaiso University,0,9
10/25/14,W,38,Mercer (GA),31,"Chattanooga, TN",,2014,Tennessee-Chattanooga,University of Tennessee: Chattanooga,1,9
10/25/14,L,15,Western Carolina (NC),29,"Charleston, SC",,2014,Citadel (SC),The Citadel,0,9
10/25/14,L,0,Samford (AL),45,"Greenville, SC",,2014,Furman (SC),Furman University,1,9
10/25/14,L,31,Tennessee-Chattanooga,38,"Macon, GA",,2014,Mercer (GA),,0,9
10/25/14,W,45,Furman (SC),0,"Birmingham, AL",,2014,Samford (AL),Samford University,0,9
10/25/14,L,3,Wofford (SC),38,"Lexington, VA",,2014,Virginia Military Institute,Virginia Military Institute,0,9
10/25/14,W,29,Citadel (SC),15,"Cullowhee, NC",,2014,Western Carolina (NC),Western Carolina University,1,9
10/25/14,W,38,Virginia Military Institute,3,"Spartanburg, SC",,2014,Wofford (SC),Wofford College,1,9
10/25/14,L,21,Sam Houston St. (TX),38,"Abilene, TX",,2014,Abilene Christian (TX),Abilene Christian University,0,9
10/25/14,W,58,Northwestern St. (LA),35,"Conway, AR",,2014,Central Arkansas,University of Central Arkansas,1,9
10/25/14,W,31,Nicholls St. (LA),21,"Houston, TX",,2014,Houston Baptist (TX),,1,9
10/25/14,L,21,McNeese St. (LA),41,"San Antonio, TX",,2014,Incarnate Word (TX),,1,9
10/25/14,W,41,Incarnate Word (TX),21,"Lake Charles, LA",,2014,McNeese St. (LA),McNeese State University,0,9
10/25/14,L,21,Houston Baptist (TX),31,"Thibodaux, LA",,2014,Nicholls St. (LA),Nicholls State University,0,9
10/25/14,L,35,Central Arkansas,58,"Natchitoches, LA",,2014,Northwestern St. (LA),Northwestern State University,0,9
10/25/14,W,38,Abilene Christian (TX),21,"Huntsville, TX",,2014,Sam Houston St. (TX),Sam Houston State University,1,9
10/25/14,L,17,Stephen F. Austin (TX),27,"Hammond, LA",,2014,Southeastern Louisiana,Southeastern Louisiana University,0,9
10/25/14,W,27,Southeastern Louisiana,17,"Nacogdoches, TX",,2014,Stephen F. Austin (TX),Stephen F. Austin State University,1,9
10/25/14,W,37,Alabama St.,36,"Normal, AL",,2014,Alabama A&M,Alabama Agricultural and Mechanical University,1,9
10/25/14,L,36,Alabama A&M,37,"Montgomery, AL",,2014,Alabama St.,Alabama State University,1,9
10/25/14,W,77,Prairie View A&M (TX),48,"Lorman, MS",,2014,Alcorn St. (MS),Alcorn State University,0,9
10/25/14,W,38,Texas Southern,37,"Pine Bluff, AR",,2014,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,0,9
10/25/14,L,28,Southern (LA),42,"Jackson, MS",,2014,Jackson St. (MS),Jackson State University,1,9
10/25/14,L,48,Alcorn St. (MS),77,"Prairie View, TX",,2014,Prairie View A&M (TX),Prairie View A&M University,1,9
10/25/14,W,42,Jackson St. (MS),28,"Baton Rouge, LA",,2014,Southern (LA),Southern University and Agricultural and Mechanical College,0,9
10/25/14,L,37,Arkansas-Pine Bluff,38,"Houston, TX",,2014,Texas Southern,Texas Southern University,1,9
10/26/14,L,18,Nevada,26,"Honolulu, HI",,2014,Hawaii,University of Hawaii at Manoa,1,9
10/26/14,W,26,Hawaii,18,"Reno, NV",,2014,Nevada,University of Nevada: Reno,0,9
10/30/14,W,42,Louisville (KY),31,"Tallahassee, FL",,2014,Florida St.,Florida State University,0,10
10/30/14,L,31,Florida St.,42,"Louisville, KY",,2014,Louisville (KY),University of Louisville,1,10
10/30/14,W,42,Troy (AL),10,"Statesboro, GA",,2014,Georgia Southern,Georgia Southern University,1,10
10/30/14,L,10,Georgia Southern,42,"Troy, AL",,2014,Troy (AL),Troy University,0,10
10/31/14,W,38,Tulane (LA),14,"Cincinnati, OH",,2014,Cincinnati (OH),University of Cincinnati,0,10
10/31/14,W,40,Tulsa (OK),20,"Memphis, TN",,2014,Memphis (TN),University of Memphis,1,10
10/31/14,L,14,Cincinnati (OH),38,"New Orleans, LA",,2014,Tulane (LA),Tulane University,1,10
10/31/14,L,20,Memphis (TN),40,"Tulsa, OK",,2014,Tulsa (OK),University of Tulsa,0,10
11/1/14,W,37,Central Florida,29,"East Hartford, CT",,2014,Connecticut,University of Connecticut,1,10
11/1/14,L,10,Temple (PA),20,"Greenville, NC",,2014,East Carolina (NC),East Carolina University,0,10
11/1/14,W,27,South Florida,3,"Houston, TX",,2014,Houston (TX),University of Houston,0,10
11/1/14,L,3,Houston (TX),27,"Tampa, FL",,2014,South Florida,University of South Florida,1,10
11/1/14,W,20,East Carolina (NC),10,"Philadelphia, PA",,2014,Temple (PA),Temple University,1,10
11/1/14,L,29,Connecticut,37,"Orlando, FL",,2014,Central Florida,University of Central Florida,0,10
11/1/14,W,33,Virginia Tech,31,"Chestnut Hill, MA",,2014,Boston College (MA),Boston College,0,10
