WL,Date,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home
W,2013-10-03,34,Utah,27,"Pasadena, CA",,2013,UCLA,University of California: Los Angeles,0
L,2013-11-30,17,Utah,24,"Boulder, CO",,2013,Colorado,University of Colorado at Boulder,0
W,2013-10-26,19,Utah,3,"Los Angeles, CA",,2013,Southern California,University of Southern California,1
W,2013-08-29,30,Utah St.,26,"Salt Lake City, UT",,2013,Utah,University of Utah,1
W,2013-09-07,70,Weber St. (UT),7,"Salt Lake City, UT",,2013,Utah,University of Utah,1
L,2013-09-14,48,Oregon St.,51,"Salt Lake City, UT",,2013,Utah,University of Utah,1
W,2013-09-21,20,Brigham Young (UT),13,"Salt Lake City, UT",,2013,Utah,University of Utah,0
L,2013-10-03,27,UCLA,34,"Salt Lake City, UT",,2013,Utah,University of Utah,1
W,2013-10-12,27,Stanford (CA),21,"Salt Lake City, UT",,2013,Utah,University of Utah,1
L,2013-10-19,24,Arizona,35,"Salt Lake City, UT",,2013,Utah,University of Utah,0
L,2013-10-26,3,Southern California,19,"Salt Lake City, UT",,2013,Utah,University of Utah,0
L,2013-11-09,19,Arizona St.,20,"Salt Lake City, UT",,2013,Utah,University of Utah,1
L,2013-11-16,21,Oregon,44,"Salt Lake City, UT",,2013,Utah,University of Utah,0
L,2013-11-23,37,Washington St.,49,"Salt Lake City, UT",,2013,Utah,University of Utah,0
W,2013-11-30,24,Colorado,17,"Salt Lake City, UT",,2013,Utah,University of Utah,1
W,2014-12-22,55,Brigham Young (UT),48,"Memphis, TN",,2014,Memphis (TN),University of Memphis,1
L,2014-09-11,25,Brigham Young (UT),33,"Houston, TX",,2014,Houston (TX),University of Houston,0
W,2014-10-09,31,Brigham Young (UT),24,"Orlando, FL",,2014,Central Florida,University of Central Florida,1
L,2014-09-20,33,Brigham Young (UT),41,"Charlottesville, VA",,2014,Virginia,University of Virginia,0
L,2014-09-06,7,Brigham Young (UT),41,"Austin, TX",,2014,Texas,The University of Texas at Austin,1
L,2014-09-20,10,Utah,26,"Ann Arbor, MI",,2014,Michigan,University of Michigan,1
L,2014-11-01,7,Brigham Young (UT),27,"Murfreesboro, TN",,2014,Middle Tennessee St.,Middle Tennessee State University,1
W,2014-08-29,35,Connecticut,10,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,0
W,2014-09-06,41,Texas,7,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,0
W,2014-09-11,33,Houston (TX),25,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,1
W,2014-09-20,41,Virginia,33,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,1
L,2014-10-03,20,Utah St.,35,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,1
L,2014-10-18,35,Nevada,42,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,1
L,2014-10-24,30,Boise St. (ID),55,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,0
W,2014-11-01,27,Middle Tennessee St.,7,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,0
W,2014-11-22,64,Savannah St. (GA),0,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,1
W,2014-11-29,42,California,35,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,0
L,2014-12-22,48,Memphis (TN),55,"Provo, UT",,2014,Brigham Young (UT),Brigham Young University,1
L,2014-08-29,10,Brigham Young (UT),35,"East Hartford, CT",,2014,Connecticut,University of Connecticut,1
W,2014-10-24,55,Brigham Young (UT),30,"Boise, ID",,2014,Boise St. (ID),Boise State University,1
L,2014-12-20,10,Utah,45,"Fort Collins, CO",,2014,Colorado St.,Colorado State University,1
W,2014-10-03,35,Brigham Young (UT),20,"Logan, UT",,2014,Utah St.,Utah State University,0
L,2014-09-06,27,Utah,59,"Fresno, CA",,2014,Fresno St. (CA),California State University: Fresno,0
W,2014-10-18,42,Brigham Young (UT),35,"Reno, NV",,2014,Nevada,University of Nevada: Reno,0
L,2014-11-15,23,Brigham Young (UT),42,"Las Vegas, NV",,2014,Nevada-Las Vegas,University of Nevada: Las Vegas,0
L,2014-11-29,35,Brigham Young (UT),42,"Berkeley, CA",,2014,California,University of California: Berkeley,1
L,2014-10-16,23,Utah,29,"Corvallis, OR",,2014,Oregon St.,Oregon State University,1
W,2014-11-08,51,Utah,27,"Eugene, OR",,2014,Oregon,University of Oregon,0
L,2014-11-15,17,Utah,20,"Stanford, CA",,2014,Stanford (CA),Stanford University,1
W,2014-09-27,28,Utah,27,"Pullman, WA",,2014,Washington St.,Washington State University,0
W,2014-11-01,19,Utah,16,"Tempe, AZ",,2014,Arizona St.,Arizona State University,1
W,2014-11-22,42,Utah,10,"Tucson, AZ",,2014,Arizona,University of Arizona,0
L,2014-11-29,34,Utah,38,"Boulder, CO",,2014,Colorado,University of Colorado at Boulder,1
L,2014-10-04,28,Utah,30,"Pasadena, CA",,2014,UCLA,University of California: Los Angeles,1
L,2014-10-25,21,Utah,24,"Los Angeles, CA",,2014,Southern California,University of Southern California,0
W,2014-08-28,56,Idaho St.,14,"Salt Lake City, UT",,2014,Utah,University of Utah,1
W,2014-09-06,59,Fresno St. (CA),27,"Salt Lake City, UT",,2014,Utah,University of Utah,1
W,2014-09-20,26,Michigan,10,"Salt Lake City, UT",,2014,Utah,University of Utah,0
L,2014-09-27,27,Washington St.,28,"Salt Lake City, UT",,2014,Utah,University of Utah,1
W,2014-10-04,30,UCLA,28,"Salt Lake City, UT",,2014,Utah,University of Utah,0
W,2014-10-16,29,Oregon St.,23,"Salt Lake City, UT",,2014,Utah,University of Utah,0
W,2014-10-25,24,Southern California,21,"Salt Lake City, UT",,2014,Utah,University of Utah,1
L,2014-11-01,16,Arizona St.,19,"Salt Lake City, UT",,2014,Utah,University of Utah,0
L,2014-11-08,27,Oregon,51,"Salt Lake City, UT",,2014,Utah,University of Utah,1
W,2014-11-15,20,Stanford (CA),17,"Salt Lake City, UT",,2014,Utah,University of Utah,0
L,2014-11-22,10,Arizona,42,"Salt Lake City, UT",,2014,Utah,University of Utah,1
W,2014-11-29,38,Colorado,34,"Salt Lake City, UT",,2014,Utah,University of Utah,0
W,2014-12-20,45,Colorado St.,10,"Salt Lake City, UT",,2014,Utah,University of Utah,1
L,2015-10-16,24,Brigham Young (UT),38,"Cincinnati, OH",,2015,Cincinnati (OH),University of Cincinnati,0
L,2015-10-10,38,Brigham Young (UT),45,"Greenville, NC",,2015,East Carolina (NC),East Carolina University,0
L,2015-09-03,17,Utah,24,"Ann Arbor, MI",,2015,Michigan,University of Michigan,0
W,2015-09-26,31,Brigham Young (UT),0,"Ann Arbor, MI",,2015,Michigan,University of Michigan,1
L,2015-09-05,28,Brigham Young (UT),33,"Lincoln, NE",,2015,Nebraska,University of Nebraska - Lincoln,1
W,2015-09-05,33,Nebraska,28,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,0
W,2015-09-12,35,Boise St. (ID),24,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,1
L,2015-09-19,23,UCLA,24,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,0
L,2015-09-26,0,Michigan,31,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,0
W,2015-10-02,30,Connecticut,13,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,1
W,2015-10-10,45,East Carolina (NC),38,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,1
W,2015-10-16,38,Cincinnati (OH),24,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,1
W,2015-10-24,70,Wagner (NY),6,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,1
W,2015-11-06,17,San Jose St. (CA),16,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,0
L,2015-11-14,16,Missouri,20,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,1
W,2015-11-21,52,Fresno St. (CA),10,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,1
W,2015-11-28,51,Utah St.,28,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,0
L,2015-12-19,28,Utah,35,"Provo, UT",,2015,Brigham Young (UT),Brigham Young University,1
L,2015-10-02,13,Brigham Young (UT),30,"East Hartford, CT",,2015,Connecticut,University of Connecticut,0
L,2015-09-12,24,Brigham Young (UT),35,"Boise, ID",,2015,Boise St. (ID),Boise State University,0
L,2015-09-11,14,Utah,24,"Logan, UT",,2015,Utah St.,Utah State University,0
L,2015-11-28,28,Brigham Young (UT),51,"Logan, UT",,2015,Utah St.,Utah State University,1
L,2015-11-06,16,Brigham Young (UT),17,"San Jose, CA",,2015,San Jose St. (CA),San Jose State University,1
L,2015-09-19,24,Utah,45,"Fresno, CA",,2015,Fresno St. (CA),California State University: Fresno,1
L,2015-11-21,10,Brigham Young (UT),52,"Fresno, CA",,2015,Fresno St. (CA),California State University: Fresno,0
L,2015-10-10,24,Utah,30,"Berkeley, CA",,2015,California,University of California: Berkeley,0
L,2015-09-26,20,Utah,62,"Eugene, OR",,2015,Oregon,University of Oregon,1
L,2015-10-31,12,Utah,27,"Corvallis, OR",,2015,Oregon St.,Oregon State University,0
L,2015-11-07,23,Utah,34,"Seattle, WA",,2015,Washington,University of Washington,1
L,2015-10-17,18,Utah,34,"Tempe, AZ",,2015,Arizona St.,Arizona State University,0
W,2015-11-14,37,Utah,30,"Tucson, AZ",,2015,Arizona,University of Arizona,1
W,2015-09-19,24,Brigham Young (UT),23,"Pasadena, CA",,2015,UCLA,University of California: Los Angeles,1
W,2015-11-21,17,Utah,9,"Pasadena, CA",,2015,UCLA,University of California: Los Angeles,0
W,2015-10-24,42,Utah,24,"Los Angeles, CA",,2015,Southern California,University of Southern California,1
L,2015-11-28,14,Utah,20,"Boulder, CO",,2015,Colorado,University of Colorado at Boulder,0
W,2015-09-03,24,Michigan,17,"Salt Lake City, UT",,2015,Utah,University of Utah,1
W,2015-09-11,24,Utah St.,14,"Salt Lake City, UT",,2015,Utah,University of Utah,1
W,2015-09-19,45,Fresno St. (CA),24,"Salt Lake City, UT",,2015,Utah,University of Utah,0
W,2015-09-26,62,Oregon,20,"Salt Lake City, UT",,2015,Utah,University of Utah,0
W,2015-10-10,30,California,24,"Salt Lake City, UT",,2015,Utah,University of Utah,1
W,2015-10-17,34,Arizona St.,18,"Salt Lake City, UT",,2015,Utah,University of Utah,1
L,2015-10-24,24,Southern California,42,"Salt Lake City, UT",,2015,Utah,University of Utah,0
W,2015-10-31,27,Oregon St.,12,"Salt Lake City, UT",,2015,Utah,University of Utah,1
W,2015-11-07,34,Washington,23,"Salt Lake City, UT",,2015,Utah,University of Utah,0
L,2015-11-14,30,Arizona,37,"Salt Lake City, UT",,2015,Utah,University of Utah,0
L,2015-11-21,9,UCLA,17,"Salt Lake City, UT",,2015,Utah,University of Utah,1
W,2015-11-28,20,Colorado,14,"Salt Lake City, UT",,2015,Utah,University of Utah,1
W,2015-12-19,35,Brigham Young (UT),28,"Salt Lake City, UT",,2015,Utah,University of Utah,1
W,2015-11-14,20,Brigham Young (UT),16,"Columbia, MO",,2015,Missouri,University of Missouri: Columbia,1
L,2016-11-05,3,Brigham Young (UT),20,"Cincinnati, OH",,2016,Cincinnati (OH),University of Cincinnati,1
W,2016-09-24,35,Brigham Young (UT),32,"Morgantown, WV",,2016,West Virginia,West Virginia University,1
L,2016-12-28,24,Utah,26,"Bloomington, IN",,2016,Indiana,Indiana University Bloomington,1
L,2016-10-08,14,Brigham Young (UT),31,"East Lansing, MI",,2016,Michigan St.,Michigan State University,1
W,2016-09-03,18,Arizona,16,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,1
L,2016-09-10,19,Utah,20,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,0
L,2016-09-17,14,UCLA,17,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,1
L,2016-09-24,32,West Virginia,35,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,1
W,2016-09-30,55,Toledo (OH),53,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,1
W,2016-10-08,31,Michigan St.,14,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,0
W,2016-10-14,28,Mississippi St.,21,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,1
L,2016-10-20,27,Boise St. (ID),28,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,0
W,2016-11-05,20,Cincinnati (OH),3,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,0
W,2016-11-12,37,Southern Utah,7,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,1
W,2016-11-19,51,Massachusetts,9,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,1
W,2016-11-26,28,Utah St.,10,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,1
W,2016-12-21,24,Wyoming,21,"Provo, UT",,2016,Brigham Young (UT),Brigham Young University,1
L,2016-11-19,9,Brigham Young (UT),51,"Foxboro, MA",,2016,Massachusetts,University of Massachusetts Amherst,0
L,2016-09-30,53,Brigham Young (UT),55,"Toledo, OH",,2016,Toledo (OH),University of Toledo,0
W,2016-10-20,28,Brigham Young (UT),27,"Boise, ID",,2016,Boise St. (ID),Boise State University,1
L,2016-12-21,21,Brigham Young (UT),24,"Laramie, WY",,2016,Wyoming,University of Wyoming,1
L,2016-11-26,10,Brigham Young (UT),28,"Logan, UT",,2016,Utah St.,Utah State University,0
L,2016-09-17,17,Utah,34,"San Jose, CA",,2016,San Jose St. (CA),San Jose State University,1
W,2016-10-01,28,Utah,23,"Berkeley, CA",,2016,California,University of California: Berkeley,1
W,2016-11-19,30,Utah,28,"Eugene, OR",,2016,Oregon,University of Oregon,0
L,2016-10-15,14,Utah,19,"Corvallis, OR",,2016,Oregon St.,Oregon State University,1
W,2016-10-29,31,Utah,24,"Seattle, WA",,2016,Washington,University of Washington,0
L,2016-11-10,26,Utah,49,"Tempe, AZ",,2016,Arizona St.,Arizona State University,1
L,2016-09-03,16,Brigham Young (UT),18,"Tucson, AZ",,2016,Arizona,University of Arizona,1
L,2016-10-08,23,Utah,36,"Tucson, AZ",,2016,Arizona,University of Arizona,0
W,2016-11-26,27,Utah,22,"Boulder, CO",,2016,Colorado,University of Colorado at Boulder,1
W,2016-09-17,17,Brigham Young (UT),14,"Pasadena, CA",,2016,UCLA,University of California: Los Angeles,0
L,2016-10-22,45,Utah,52,"Pasadena, CA",,2016,UCLA,University of California: Los Angeles,1
W,2016-09-01,24,Southern Utah,0,"Salt Lake City, UT",,2016,Utah,University of Utah,1
W,2016-09-10,20,Brigham Young (UT),19,"Salt Lake City, UT",,2016,Utah,University of Utah,1
W,2016-09-17,34,San Jose St. (CA),17,"Salt Lake City, UT",,2016,Utah,University of Utah,0
W,2016-09-23,31,Southern California,27,"Salt Lake City, UT",,2016,Utah,University of Utah,1
L,2016-10-01,23,California,28,"Salt Lake City, UT",,2016,Utah,University of Utah,0
W,2016-10-08,36,Arizona,23,"Salt Lake City, UT",,2016,Utah,University of Utah,1
W,2016-10-15,19,Oregon St.,14,"Salt Lake City, UT",,2016,Utah,University of Utah,0
W,2016-10-22,52,UCLA,45,"Salt Lake City, UT",,2016,Utah,University of Utah,0
L,2016-10-29,24,Washington,31,"Salt Lake City, UT",,2016,Utah,University of Utah,1
W,2016-11-10,49,Arizona St.,26,"Salt Lake City, UT",,2016,Utah,University of Utah,0
L,2016-11-19,28,Oregon,30,"Salt Lake City, UT",,2016,Utah,University of Utah,1
L,2016-11-26,22,Colorado,27,"Salt Lake City, UT",,2016,Utah,University of Utah,0
W,2016-12-28,26,Indiana,24,"Salt Lake City, UT",,2016,Utah,University of Utah,1
L,2016-09-23,27,Utah,31,"Los Angeles, CA",,2016,Southern California,University of Southern California,0
L,2016-10-14,21,Brigham Young (UT),28,"Starkville, MS",,2016,Mississippi St.,Mississippi State University,0
W,2017-10-21,33,Brigham Young (UT),17,"Greenville, NC",,2017,East Carolina (NC),East Carolina University,1
L,2017-12-26,14,Utah,30,"Morgantown, WV",,2017,West Virginia,West Virginia University,1
W,2017-09-16,40,Brigham Young (UT),6,"Madison, WI",,2017,Wisconsin,University of Wisconsin-Madison,0
W,2017-08-26,20,Portland St. (OR),6,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,1
L,2017-09-02,0,Louisiana St.,27,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,1
L,2017-09-09,13,Utah,19,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,1
L,2017-09-16,6,Wisconsin,40,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,1
L,2017-09-29,24,Utah St.,40,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,0
L,2017-10-06,7,Boise St. (ID),24,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,1
L,2017-10-14,10,Mississippi St.,35,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,0
L,2017-10-21,17,East Carolina (NC),33,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,0
W,2017-10-28,41,San Jose St. (CA),20,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,1
L,2017-11-04,13,Fresno St. (CA),20,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,0
L,2017-11-18,10,Massachusetts,16,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,1
W,2017-11-25,30,Hawaii,20,"Provo, UT",,2017,Brigham Young (UT),Brigham Young University,0
W,2017-11-18,16,Brigham Young (UT),10,"Foxboro, MA",,2017,Massachusetts,University of Massachusetts Amherst,0
W,2017-10-06,24,Brigham Young (UT),7,"Boise, ID",,2017,Boise St. (ID),Boise State University,0
W,2017-09-29,40,Brigham Young (UT),24,"Logan, UT",,2017,Utah St.,Utah State University,1
W,2017-11-04,20,Brigham Young (UT),13,"Fresno, CA",,2017,Fresno St. (CA),California State University: Fresno,1
L,2017-11-25,20,Brigham Young (UT),30,"Honolulu, HI",,2017,Hawaii,University of Hawaii at Manoa,1
L,2017-09-16,16,Utah,54,"San Jose, CA",,2017,San Jose St. (CA),San Jose State University,0
L,2017-10-28,20,Brigham Young (UT),41,"San Jose, CA",,2017,San Jose St. (CA),San Jose State University,0
W,2017-10-28,41,Utah,20,"Eugene, OR",,2017,Oregon,University of Oregon,1
L,2017-11-10,21,Brigham Young (UT),31,"Las Vegas, NV",,2017,Nevada-Las Vegas,University of Nevada: Las Vegas,1
W,2017-10-07,23,Utah,20,"Stanford, CA",,2017,Stanford (CA),Stanford University,0
W,2017-11-18,33,Utah,30,"Seattle, WA",,2017,Washington,University of Washington,1
L,2017-09-22,24,Utah,30,"Tucson, AZ",,2017,Arizona,University of Arizona,1
W,2017-10-21,30,Utah,10,"Tempe, AZ",,2017,Arizona St.,Arizona State University,0
W,2017-11-11,33,Utah,25,"Pullman, WA",,2017,Washington St.,Washington State University,0
L,2017-11-25,13,Utah,34,"Boulder, CO",,2017,Colorado,University of Colorado at Boulder,0
L,2017-11-03,17,Utah,48,"Pasadena, CA",,2017,UCLA,University of California: Los Angeles,0
