"","Team","Opponent","ScoreOff","ScoreDef","TotYardsOff","TotPlaysOff","YdsPlayOff","PassingOff","CmpAttOff","YdsPassOff","RushingOff","RushesOff","YdsRushOff","FirstDownOff","PassOff","RushOff","PenaltyOff","PenaltiesOff","YdsOff","TurnoversOff","FumLostOff","IntThrownOff","TotYardsDef","TotPlaysDef","YdsPlayDef","PassingDef","CmpAttDef","YdsPassDef","RushingDef","RushesDef","YdsRushDef","FirstDownDef","PassDef","RushDef","PenaltyDef","PenaltiesDef","YdsDef","TurnoversDef","FumLostDef","IntThrownDef"
"SYR1","SYR","CMI","40","3","464","79","5.9","175","20-30","5.8","289","49","5.9","25","9","15","1","9","41","0","0","0","217","57","3.8","183","18-34","5.4","34","23","1.5","14","10","3","1","5","49","2","2","0"
"CMI2","CMI","SYR","3","40","217","57","3.8","183","18-34","5.4","34","23","1.5","14","10","3","1","5","49","2","2","0","464","79","5.9","175","20-30","5.8","289","49","5.9","25","9","15","1","9","41","0","0","0"
"RICE1","RICE","TXAM","10","38","481","91","5.3","241","24-36","6.7","240","55","4.4","28","15","11","2","8","66","0","0","0","477","59","8.1","309","21-33","9.4","168","26","6.5","23","15","8","0","6","60","1","0","1"
"TXAM2","TXAM","RICE","38","10","477","59","8.1","309","21-33","9.4","168","26","6.5","23","15","8","0","6","60","1","0","1","481","91","5.3","241","24-36","6.7","240","55","4.4","28","15","11","2","8","66","0","0","0"
"MN2","MN","TXX","7","30","268","68","3.9","169","14-29","5.8","99","39","2.5","14","8","5","1","4","40","5","2","3","427","73","5.8","258","27-46","5.6","169","27","6.3","22","13","8","1","8","72","2","1","1"
"TXX1","TXX","MN","30","7","427","73","5.8","258","27-46","5.6","169","27","6.3","22","13","8","1","8","72","2","1","1","268","68","3.9","169","14-29","5.8","99","39","2.5","14","8","5","1","4","40","5","2","3"
"NMST2","NMST","TXEP","24","42","425","62","6.9","335","23-41","8.2","90","21","4.3","20","13","6","1","4","17","2","0","2","470","74","6.4","126","13-16","7.9","344","58","5.9","26","9","16","1","5","43","1","0","1"
"TXEP2","TXEP","NMST","42","24","470","74","6.4","126","13-16","7.9","344","58","5.9","26","9","16","1","5","43","1","0","1","425","62","6.9","335","23-41","8.2","90","21","4.3","20","13","6","1","4","17","2","0","2"
"SELA","SELA","TLN","20","35","271","71","3.8","213","16-35","6.1","58","36","1.6","17","9","4","4","15","142","3","1","2","360","70","5.1","238","14-30","7.9","122","40","3.1","21","10","5","6","12","115","3","1","2"
"TLN2","TLN","SELA","35","20","360","70","5.1","238","14-30","7.9","122","40","3.1","21","10","5","6","12","115","3","1","2","271","71","3.8","213","16-35","6.1","58","36","1.6","17","9","4","4","15","142","3","1","2"
"UCLA2","UCLA","TX","20","17","443","81","5.5","226","27-34","6.6","217","47","4.6","24","9","13","2","4","51","1","1","0","322","64","5.0","196","24-34","5.8","126","30","4.2","14","8","6","0","7","50","0","0","0"
"TX2","TX","UCLA","17","20","322","64","5.0","196","24-34","5.8","126","30","4.2","14","8","6","0","7","50","0","0","0","443","81","5.5","226","27-34","6.6","217","47","4.6","24","9","13","2","4","51","1","1","0"
"WAKE2","WAKE","UTST","24","36","232","74","3.1","257","20-50","5.1","-25","24","-1.0","16","13","1","2","10","103","3","1","2","391","79","4.9","331","32-44","7.5","60","35","1.7","23","13","5","5","8","65","3","1","2"
"UTST2","UTST","WAKE","36","24","391","79","4.9","331","32-44","7.5","60","35","1.7","23","13","5","5","8","65","3","1","2","232","74","3.1","257","20-50","5.1","-25","24","-1.0","16","13","1","2","10","103","3","1","2"
"MA2","MA","VAND","31","34","346","74","4.7","258","18-35","7.4","88","39","2.3","20","13","4","3","2","10","1","1","0","310","63","4.9","150","16-23","6.5","160","40","4.0","17","8","8","1","9","77","1","0","1"
"VAND2","VAND","MA","34","31","310","63","4.9","150","16-23","6.5","160","40","4.0","17","8","8","1","9","77","1","0","1","346","74","4.7","258","18-35","7.4","88","39","2.3","20","13","4","3","2","10","1","1","0"
"LOU2","LOU","VA","21","23","282","70","4.0","203","20-43","4.7","79","27","2.9","17","9","6","2","7","50","4","2","2","285","70","4.1","171","16-30","5.7","114","40","2.9","13","8","5","0","7","46","3","1","2"
"VA2","VA","LOU","23","21","285","70","4.1","171","16-30","5.7","114","40","2.9","13","8","5","0","7","46","3","1","2","282","70","4.0","203","20-43","4.7","79","27","2.9","17","9","6","2","7","50","4","2","2"
"IL2","IL","WA","19","44","351","57","6.2","279","20-31","9.0","72","26","2.8","15","9","5","1","11","110","3","2","1","464","80","5.8","219","16-22","10.0","245","58","4.2","25","7","14","4","8","73","1","1","0"
"WA2","WA","IL","44","19","464","80","5.8","219","16-22","10.0","245","58","4.2","25","7","14","4","8","73","1","1","0","351","57","6.2","279","20-31","9.0","72","26","2.8","15","9","5","1","11","110","3","2","1"
"PORST1","PORST","WAST","20","59","362","84","4.3","269","31-51","5.3","93","33","2.8","23","14","6","3","6","49","2","1","1","706","87","8.1","630","43-64","9.8","76","23","3.3","33","27","5","1","7","70","2","0","2"
"WAST2","WAST","PORST","59","20","706","87","8.1","630","43-64","9.8","76","23","3.3","33","27","5","1","7","70","2","0","2","362","84","4.3","269","31-51","5.3","93","33","2.8","23","14","6","3","6","49","2","1","1"
"WV2","WV","MD","40","37","694","108","6.4","511","37-49","10.4","183","59","3.1","33","18","13","2","4","40","4","3","1","447","65","6.9","284","21-38","7.5","163","27","6.0","16","11","5","0","7","71","1","0","1"
"MD2","MD","WV","37","40","447","65","6.9","284","21-38","7.5","163","27","6.0","16","11","5","0","7","71","1","0","1","694","108","6.4","511","37-49","10.4","183","59","3.1","33","18","13","2","4","40","4","3","1"
"WMI1","WMI","ID","45","33","484","59","8.2","218","8-13","16.8","266","46","5.8","22","7","12","3","10","93","0","0","0","407","72","5.7","362","27-41","8.8","45","31","1.5","23","14","4","5","8","79","1","0","1"
"ID1","ID","WMI","33","45","407","72","5.7","362","27-41","8.8","45","31","1.5","23","14","4","5","8","79","1","0","1","484","59","8.2","218","8-13","16.8","266","46","5.8","22","7","12","3","10","93","0","0","0"
"AUB2","AUB","KSST","20","14","359","76","4.7","231","17-31","7.5","128","45","2.8","22","15","7","0","6","46","1","0","1","285","70","4.1","245","24-40","6.1","40","30","1.3","20","13","4","3","0","0","3","1","2"
"KSST2","KSST","AUB","14","20","285","70","4.1","245","24-40","6.1","40","30","1.3","20","13","4","3","0","0","3","1","2","359","76","4.7","231","17-31","7.5","128","45","2.8","22","15","7","0","6","46","1","0","1"
"CT3","CT","SFL","14","17","145","36","4.0","88","6-10","8.8","57","26","2.2","6","3","2","1","9","61","1","1","0","271","71","3.8","113","10-18","6.3","158","53","3.0","17","6","10","1","5","45","1","0","1"
"SFL3","SFL","CT","17","14","271","71","3.8","113","10-18","6.3","158","53","3.0","17","6","10","1","5","45","1","0","1","145","36","4.0","88","6-10","8.8","57","26","2.2","6","3","2","1","9","61","1","1","0"
"FL2","FL","AL","21","42","200","55","3.6","93","9-28","3.3","107","27","4.0","11","5","5","1","5","36","3","1","2","645","87","7.4","449","24-35","12.8","196","52","3.8","28","13","13","2","11","80","4","3","1"
"AL3","AL","FL","42","21","645","87","7.4","449","24-35","12.8","196","52","3.8","28","13","13","2","11","80","4","3","1","200","55","3.6","93","9-28","3.3","107","27","4.0","11","5","5","1","5","36","3","1","2"
"CA2","CA","AZ","45","49","573","72","8.0","380","18-30","12.7","193","42","4.6","24","13","9","2","10","99","2","1","1","627","106","5.9","520","47-74","7.0","107","32","3.3","36","24","8","4","6","65","2","0","2"
"AZ3","AZ","CA","49","45","627","106","5.9","520","47-74","7.0","107","32","3.3","36","24","8","4","6","65","2","0","2","573","72","8.0","380","18-30","12.7","193","42","4.6","24","13","9","2","10","99","2","1","1"
"NIL3","NIL","AR","14","52","303","63","4.8","180","19-31","5.8","123","32","3.8","17","8","8","1","9","67","1","1","0","427","68","6.3","215","16-23","9.3","212","45","4.7","24","11","11","2","4","30","0","0","0"
"AR3","AR","NIL","52","14","427","68","6.3","215","16-23","9.3","212","45","4.7","24","11","11","2","4","30","0","0","0","303","63","4.8","180","19-31","5.8","123","32","3.8","17","8","8","1","9","67","1","1","0"
"UTST3","UTST","ARST","14","21","413","84","4.9","268","27-47","5.7","145","37","3.9","19","6","12","1","11","100","1","0","1","316","80","4.0","190","19-33","5.8","126","47","2.7","22","9","10","3","8","62","4","3","1"
"ARST3","ARST","UTST","21","14","316","80","4.0","190","19-33","5.8","126","47","2.7","22","9","10","3","8","62","4","3","1","413","84","4.9","268","27-47","5.7","145","37","3.9","19","6","12","1","11","100","1","0","1"
"LALAF3","LALAF","BOISE","9","34","241","62","3.9","174","21-39","4.5","67","23","2.9","14","8","3","3","7","40","1","0","1","499","79","6.3","237","24-31","7.6","262","48","5.5","24","10","14","0","8","60","0","0","0"
"BOISE3","BOISE","LALAF","34","9","499","79","6.3","237","24-31","7.6","262","48","5.5","24","10","14","0","8","60","0","0","0","241","62","3.9","174","21-39","4.5","67","23","2.9","14","8","3","3","7","40","1","0","1"
"ME","ME","BC","10","40","139","40","3.5","123","10-18","6.8","16","22","0.7","6","4","1","1","4","25","0","0","0","549","85","6.5","136","12-21","6.5","413","64","6.5","28","4","24","0","3","26","1","0","1"
"BC3","BC","ME","40","10","549","85","6.5","136","12-21","6.5","413","64","6.5","28","4","24","0","3","26","1","0","1","139","40","3.5","123","10-18","6.8","16","22","0.7","6","4","1","1","4","25","0","0","0"
"VA3","VA","BYU","33","41","519","102","5.1","327","35-58","5.6","192","44","4.4","35","18","11","6","8","86","2","1","1","332","60","5.5","187","13-23","8.1","145","37","3.9","16","7","7","2","12","133","0","0","0"
"BYU3","BYU","VA","41","33","332","60","5.5","187","13-23","8.1","145","37","3.9","16","7","7","2","12","133","0","0","0","519","102","5.1","327","35-58","5.6","192","44","4.4","35","18","11","6","8","86","2","1","1"
"NORFST","NORFST","BUF","7","36","215","58","3.7","99","3-12","8.3","116","46","2.5","10","3","6","1","5","55","2","2","0","431","73","5.9","262","15-29","9.0","169","44","3.8","22","10","9","3","4","55","0","0","0"
"BUF3","BUF","NORFST","36","7","431","73","5.9","262","15-29","9.0","169","44","3.8","22","10","9","3","4","55","0","0","0","215","58","3.7","99","3-12","8.3","116","46","2.5","10","3","6","1","5","55","2","2","0"
"BETH1","BETH","CFL","7","41","173","57","3.0","101","11-15","6.7","72","42","1.7","14","5","6","3","17","137","0","0","0","351","54","6.5","182","8-13","14.0","169","41","4.1","17","6","9","2","6","75","0","0","0"
"CFL2","CFL","BETH","41","7","351","54","6.5","182","8-13","14.0","169","41","4.1","17","6","9","2","6","75","0","0","0","173","57","3.0","101","11-15","6.7","72","42","1.7","14","5","6","3","17","137","0","0","0"
"MIAOH3","MIAOH","CIN","24","31","364","70","5.2","262","13-26","10.1","102","44","2.3","19","8","11","0","6","38","3","2","1","370","69","5.4","271","25-39","6.9","99","30","3.3","22","13","7","2","4","30","2","0","2"
"CIN1","CIN","MIAOH","31","24","370","69","5.4","271","25-39","6.9","99","30","3.3","22","13","7","2","4","30","2","0","2","364","70","5.2","262","13-26","10.1","102","44","2.3","19","8","11","0","6","38","3","2","1"
"HI3","HI","CO","12","21","286","78","3.7","155","17-46","3.4","131","32","4.1","20","7","8","5","2","15","2","1","1","405","81","5.0","287","29-45","6.4","118","36","3.3","20","15","4","1","9","83","2","0","2"
"CO3","CO","HI","21","12","405","81","5.0","287","29-45","6.4","118","36","3.3","20","15","4","1","9","83","2","0","2","286","78","3.7","155","17-46","3.4","131","32","4.1","20","7","8","5","2","15","2","1","1"
"TLN3","TLN","DUKE","7","47","375","95","3.9","160","14-36","4.4","215","59","3.6","28","7","17","4","13","92","5","1","4","437","70","6.2","181","15-28","6.5","256","42","6.1","23","8","12","3","7","80","2","1","1"
"DUKE3","DUKE","TLN","47","7","437","70","6.2","181","15-28","6.5","256","42","6.1","23","8","12","3","7","80","2","1","1","375","95","3.9","160","14-36","4.4","215","59","3.6","28","7","17","4","13","92","5","1","4"
"NC2","NC","ECAR","41","70","439","82","5.4","294","24-43","6.8","145","39","3.7","23","14","8","1","8","85","1","0","1","789","97","8.1","446","32-51","8.7","343","46","7.5","39","21","14","4","9","74","1","0","1"
"ECAR3","ECAR","NC","70","41","789","97","8.1","446","32-51","8.7","343","46","7.5","39","21","14","4","9","74","1","0","1","439","82","5.4","294","24-43","6.8","145","39","3.7","23","14","8","1","8","85","1","0","1"
"CLEM2","CLEM","FLST","17","23","407","73","5.6","306","22-33","9.3","101","40","2.5","17","12","4","1","3","29","1","1","0","318","66","4.8","305","21-39","7.8","13","27","0.5","18","12","5","1","8","41","2","0","2"
"FLST2","FLST","CLEM","23","17","318","66","4.8","305","21-39","7.8","13","27","0.5","18","12","5","1","8","41","2","0","2","407","73","5.6","306","22-33","9.3","101","40","2.5","17","12","4","1","3","29","1","1","0"
"SUT1","SUT","FREST","16","56","375","64","5.9","318","18-30","10.6","57","34","1.7","11","7","3","1","5","29","2","1","1","694","92","7.5","305","22-38","8.0","389","54","7.2","29","10","18","1","6","52","1","0","1"
"FREST3","FREST","SUT","56","16","694","92","7.5","305","22-38","8.0","389","54","7.2","29","10","18","1","6","52","1","0","1","375","64","5.9","318","18-30","10.6","57","34","1.7","11","7","3","1","5","29","2","1","1"
"TROY3","TROY","GA","0","66","216","61","3.5","169","18-33","5.1","47","28","1.7","11","5","5","1","4","35","2","1","1","547","61","9.0","180","14-22","8.2","367","39","9.4","23","8","13","2","5","35","0","0","0"
"GA2","GA","TROY","66","0","547","61","9.0","180","14-22","8.2","367","39","9.4","23","8","13","2","5","35","0","0","0","216","61","3.5","169","18-33","5.1","47","28","1.7","11","5","5","1","4","35","2","1","1"
"GAS2","GAS","SAL","28","6","420","63","6.7","85","6-11","7.7","335","52","6.4","18","4","14","0","1","10","2","1","1","296","76","3.9","149","13-34","4.4","147","42","3.5","20","9","11","0","6","50","2","0","2"
"SAL2","SAL","GAS","6","28","296","76","3.9","149","13-34","4.4","147","42","3.5","20","9","11","0","6","50","2","0","2","420","63","6.7","85","6-11","7.7","335","52","6.4","18","4","14","0","1","10","2","1","1"
"GATECH3","GATECH","VATECH","27","24","375","62","6.0","125","7-18","6.9","250","44","5.7","19","6","12","1","8","60","1","1","0","424","72","5.9","297","28-39","7.6","127","33","3.8","24","17","7","0","12","79","3","0","3"
"VATECH3","VATECH","GATECH","24","27","424","72","5.9","297","28-39","7.6","127","33","3.8","24","17","7","0","12","79","3","0","3","375","62","6.0","125","7-18","6.9","250","44","5.7","19","6","12","1","8","60","1","1","0"
"NVLV3","NVLV","HOU","14","47","316","78","4.1","146","16-39","3.7","170","39","4.4","16","5","7","4","11","171","3","0","3","534","81","6.6","135","12-29","4.7","399","52","7.7","30","6","19","5","9","110","2","0","2"
"HOU3","HOU","NVLV","47","14","534","81","6.6","135","12-29","4.7","399","52","7.7","30","6","19","5","9","110","2","0","2","316","78","4.1","146","16-39","3.7","170","39","4.4","16","5","7","4","11","171","3","0","3"
"TXST2","TXST","IL","35","42","475","95","5.0","336","29-43","7.8","139","52","2.7","26","15","10","1","8","63","1","0","1","485","66","7.3","266","25-39","6.8","219","27","8.1","21","12","7","2","4","19","1","0","1"
"IL3","IL","TXST","42","35","485","66","7.3","266","25-39","6.8","219","27","8.1","21","12","7","2","4","19","1","0","1","475","95","5.0","336","29-43","7.8","139","52","2.7","26","15","10","1","8","63","1","0","1"
"IN2","IN","MO","31","27","493","83","5.9","252","18-33","7.6","241","50","4.8","27","13","11","3","5","55","0","0","0","498","82","6.1","326","28-47","6.9","172","35","4.9","27","17","8","2","10","75","1","0","1"
"MO3","MO","IN","27","31","498","82","6.1","326","28-47","6.9","172","35","4.9","27","17","8","2","10","75","1","0","1","493","83","5.9","252","18-33","7.6","241","50","4.8","27","13","11","3","5","55","0","0","0"
"IA3","IA","PITT","24","20","311","53","5.9","178","12-18","9.9","133","35","3.8","17","7","8","2","2","20","1","0","1","435","72","6.0","250","19-30","8.3","185","42","4.4","24","13","10","1","8","80","1","0","1"
"PITT3","PITT","IA","20","24","435","72","6.0","250","19-30","8.3","185","42","4.4","24","13","10","1","8","80","1","0","1","311","53","5.9","178","12-18","9.9","133","35","3.8","17","7","8","2","2","20","1","0","1"
"CMI3","CMI","KS","10","24","279","61","4.6","178","18-26","6.8","101","35","2.9","18","10","6","2","5","43","3","2","1","369","69","5.3","231","24-34","6.8","138","35","3.9","15","10","5","0","8","65","1","0","1"
"KS2","KS","CMI","24","10","369","69","5.3","231","24-34","6.8","138","35","3.9","15","10","5","0","8","65","1","0","1","279","61","4.6","178","18-26","6.8","101","35","2.9","18","10","6","2","5","43","3","2","1"
"LOU3","LOU","FLINT","34","3","336","71","4.7","324","20-36","9.0","12","35","0.3","16","9","6","1","7","36","2","2","0","205","66","3.1","117","13-26","4.5","88","40","2.2","12","4","7","1","6","60","3","1","2"
"FLINT3","FLINT","LOU","3","34","205","66","3.1","117","13-26","4.5","88","40","2.2","12","4","7","1","6","60","3","1","2","336","71","4.7","324","20-36","9.0","12","35","0.3","16","9","6","1","7","36","2","2","0"
"MARSH3","MARSH","AKR","48","17","526","76","6.9","242","20-38","6.4","284","38","7.5","28","11","13","4","20","188","1","0","1","343","75","4.6","251","25-52","4.8","92","23","4.0","25","10","8","7","10","94","4","2","2"
"AKR2","AKR","MARSH","17","48","343","75","4.6","251","25-52","4.8","92","23","4.0","25","10","8","7","10","94","4","2","2","526","76","6.9","242","20-38","6.4","284","38","7.5","28","11","13","4","20","188","1","0","1"
"MD3","MD","SYR","34","20","369","58","6.4","280","16-26","10.8","89","32","2.8","17","10","6","1","8","75","0","0","0","589","79","7.5","219","14-28","7.8","370","51","7.3","26","9","15","2","8","69","2","1","1"
"SYR2","SYR","MD","20","34","589","79","7.5","219","14-28","7.8","370","51","7.3","26","9","15","2","8","69","2","1","1","369","58","6.4","280","16-26","10.8","89","32","2.8","17","10","6","1","8","75","0","0","0"
"MIDTN3","MIDTN","MEM","17","36","325","69","4.7","237","24-35","6.8","88","34","2.6","17","12","5","0","4","36","3","2","1","480","86","5.6","219","21-35","6.3","261","51","5.1","26","14","11","1","6","35","1","0","1"
"MEM2","MEM","MIDTN","36","17","480","86","5.6","219","21-35","6.3","261","51","5.1","26","14","11","1","6","35","1","0","1","325","69","4.7","237","24-35","6.8","88","34","2.6","17","12","5","0","4","36","3","2","1"
"EMI3","EMI","MIST","14","73","135","48","2.8","115","10-29","4.0","20","19","1.1","5","3","2","0","4","38","6","5","1","496","79","6.3","160","14-19","8.4","336","60","5.6","24","8","14","4","4","25","1","0","1"
"MIST2","MIST","EMI","73","14","496","79","6.3","160","14-19","8.4","336","60","5.6","24","8","14","4","4","25","1","0","1","135","48","2.8","115","10-29","4.0","20","19","1.1","5","3","2","0","4","38","6","5","1"
"SJST2","SJST","MN","7","24","254","65","3.9","186","16-33","5.6","68","32","2.1","17","8","6","3","0","0","5","3","2","387","65","6.0","7","1-7","1.0","380","58","6.6","19","1","18","0","10","80","2","1","1"
"MN3","MN","SJST","24","7","387","65","6.0","7","1-7","1.0","380","58","6.6","19","1","18","0","10","80","2","1","1","254","65","3.9","186","16-33","5.6","68","32","2.1","17","8","6","3","0","0","5","3","2"
"MSST3","MSST","LAST","34","29","570","73","7.8","268","15-24","11.2","302","49","6.2","23","9","14","0","6","41","2","2","0","430","72","6.0","341","20-36","9.5","89","36","2.5","20","13","6","1","3","28","1","0","1"
"LAST3","LAST","MSST","29","34","430","72","6.0","341","20-36","9.5","89","36","2.5","20","13","6","1","3","28","1","0","1","570","73","7.8","268","15-24","11.2","302","49","6.2","23","9","14","0","6","41","2","2","0"
"MIAFL3","MIAFL","NE","31","41","435","65","6.7","359","28-42","8.5","76","23","3.3","24","16","6","2","9","82","3","1","2","456","67","6.8","113","9-13","8.7","343","54","6.4","27","5","17","5","7","69","2","1","1"
"NE3","NE","MIAFL","41","31","456","67","6.8","113","9-13","8.7","343","54","6.4","27","5","17","5","7","69","2","1","1","435","65","6.7","359","28-42","8.5","76","23","3.3","24","16","6","2","9","82","3","1","2"
"NM2","NM","NMST","38","35","499","63","7.9","67","8-14","4.8","432","49","8.8","24","4","19","1","6","57","1","1","0","507","92","5.5","333","32-47","7.1","174","45","3.9","29","15","12","2","5","44","2","0","2"
"NMST3","NMST","NM","35","38","507","92","5.5","333","32-47","7.1","174","45","3.9","29","15","12","2","5","44","2","0","2","499","63","7.9","67","8-14","4.8","432","49","8.8","24","4","19","1","6","57","1","1","0"
"PRESBY1","PRESBY","NCST","0","42","252","70","3.6","130","15-25","5.2","122","45","2.7","16","8","8","0","5","54","1","1","0","460","53","8.7","195","14-22","8.9","265","31","8.5","21","7","11","3","7","70","0","0","0"
"NCST3","NCST","PRESBY","42","0","460","53","8.7","195","14-22","8.9","265","31","8.5","21","7","11","3","7","70","0","0","0","252","70","3.6","130","15-25","5.2","122","45","2.7","16","8","8","0","5","54","1","1","0"
"NICHST2","NICHST","NTX","3","77","244","74","3.3","166","17-32","5.2","78","42","1.9","14","7","6","1","5","40","3","0","3","526","55","9.6","202","13-17","11.9","324","38","8.5","20","7","13","0","5","40","1","1","0"
"NTX3","NTX","NICHST","77","3","526","55","9.6","202","13-17","11.9","324","38","8.5","20","7","13","0","5","40","1","1","0","244","74","3.3","166","17-32","5.2","78","42","1.9","14","7","6","1","5","40","3","0","3"
"WIL1","WIL","NWEST","7","24","376","86","4.4","292","29-50","5.8","84","36","2.3","22","12","9","1","6","40","4","3","1","283","66","4.3","117","15-25","4.7","166","41","4.0","15","7","7","1","5","35","2","2","0"
"NWEST2","NWEST","WIL","24","7","283","66","4.3","117","15-25","4.7","166","41","4.0","15","7","7","1","5","35","2","2","0","376","86","4.4","292","29-50","5.8","84","36","2.3","22","12","9","1","6","40","4","3","1"
"NWST1","NWST","LATECH","30","27","307","73","4.2","205","21-35","5.9","102","38","2.7","21","9","10","2","3","30","2","0","2","413","67","6.2","280","20-34","8.2","133","33","4.0","22","13","8","1","8","74","5","2","3"
"LATECH3","LATECH","NWST","27","30","413","67","6.2","280","20-34","8.2","133","33","4.0","22","13","8","1","8","74","5","2","3","307","73","4.2","205","21-35","5.9","102","38","2.7","21","9","10","2","3","30","2","0","2"
"ID2","ID","OH","24","36","417","84","5.0","353","33-56","6.3","64","28","2.3","23","15","7","1","4","32","3","0","3","505","66","7.7","233","12-19","12.3","272","47","5.8","19","8","10","1","9","64","1","1","0"
"OH3","OH","ID","36","24","505","66","7.7","233","12-19","12.3","272","47","5.8","19","8","10","1","9","64","1","1","0","417","84","5.0","353","33-56","6.3","64","28","2.3","23","15","7","1","4","32","3","0","3"
"OK3","OK","WV","45","33","510","76","6.7","209","17-30","7.0","301","46","6.5","24","10","13","1","8","82","1","0","1","513","81","6.3","376","25-41","9.2","137","40","3.4","26","14","9","3","5","55","3","1","2"
"WV3","WV","OK","33","45","513","81","6.3","376","25-41","9.2","137","40","3.4","26","14","9","3","5","55","3","1","2","510","76","6.7","209","17-30","7.0","301","46","6.5","24","10","13","1","8","82","1","0","1"
"OD2","OD","RICE","45","42","530","64","8.3","430","27-43","10.0","100","21","4.8","25","17","7","1","5","55","0","0","0","526","88","6.0","242","22-34","7.1","284","54","5.3","30","11","18","1","5","50","0","0","0"
"RICE2","RICE","OD","42","45","526","88","6.0","242","22-34","7.1","284","54","5.3","30","11","18","1","5","50","0","0","0","530","64","8.3","430","27-43","10.0","100","21","4.8","25","17","7","1","5","55","0","0","0"
"OR3","OR","WAST","38","31","501","67","7.5","329","21-25","13.2","172","42","4.1","22","10","10","2","10","86","0","0","0","499","80","6.2","436","43-63","6.9","63","17","3.7","29","21","4","4","5","54","2","2","0"
"WAST3","WAST","OR","31","38","499","80","6.2","436","43-63","6.9","63","17","3.7","29","21","4","4","5","54","2","2","0","501","67","7.5","329","21-25","13.2","172","42","4.1","22","10","10","2","10","86","0","0","0"
"SDGST2","SDGST","ORST","7","28","215","49","4.4","106","14-26","4.1","109","23","4.7","11","6","5","0","9","65","2","0","2","372","67","5.6","275","24-31","8.9","97","36","2.7","25","12","8","5","7","52","2","1","1"
"ORST2","ORST","SDGST","28","7","372","67","5.6","275","24-31","8.9","97","36","2.7","25","12","8","5","7","52","2","1","1","215","49","4.4","106","14-26","4.1","109","23","4.7","11","6","5","0","9","65","2","0","2"
"MA3","MA","PAST","7","48","266","61","4.4","263","17-33","8.0","3","28","0.1","13","7","5","1","4","30","1","1","0","464","77","6.0","236","18-32","7.4","228","45","5.1","23","11","11","1","6","52","0","0","0"
"PAST3","PAST","MA","48","7","464","77","6.0","236","18-32","7.4","228","45","5.1","23","11","11","1","6","52","0","0","0","266","61","4.4","263","17-33","8.0","3","28","0.1","13","7","5","1","4","30","1","1","0"
"SIL","SIL","PUR","13","33","330","74","4.5","248","24-46","5.4","82","28","2.9","20","13","5","2","5","45","2","1","1","381","70","5.4","198","15-26","7.6","183","44","4.2","23","9","11","3","4","26","1","1","0"
"PUR3","PUR","SIL","33","13","381","70","5.4","198","15-26","7.6","183","44","4.2","23","9","11","3","4","26","1","1","0","330","74","4.5","248","24-46","5.4","82","28","2.9","20","13","5","2","5","45","2","1","1"
"RUT3","RUT","NAVY","31","24","435","70","6.2","151","11-14","10.8","284","56","5.1","24","7","16","1","2","24","1","1","0","402","65","6.2","231","12-22","10.5","171","43","4.0","20","8","11","1","3","34","1","1","0"
"NAVY3","NAVY","RUT","24","31","402","65","6.2","231","12-22","10.5","171","43","4.0","20","8","11","1","3","34","1","1","0","435","70","6.2","151","11-14","10.8","284","56","5.1","24","7","16","1","2","24","1","1","0"
"SC3","SC","VAND","48","34","449","68","6.6","237","22-34","7.0","212","34","6.2","24","10","12","2","5","35","1","1","0","379","55","6.9","223","15-25","8.9","156","30","5.2","18","8","9","1","7","75","2","1","1"
"VAND3","VAND","SC","34","48","379","55","6.9","223","15-25","8.9","156","30","5.2","18","8","9","1","7","75","2","1","1","449","68","6.6","237","22-34","7.0","212","34","6.2","24","10","12","2","5","35","1","1","0"
"APPST1","APPST","SMS","20","21","455","87","5.2","264","28-40","6.6","191","47","4.1","29","16","9","4","11","59","3","1","2","329","61","5.4","268","22-36","7.4","61","25","2.4","16","9","5","2","9","103","2","0","2"
"SMS3","SMS","APPST","21","20","329","61","5.4","268","22-36","7.4","61","25","2.4","16","9","5","2","9","103","2","0","2","455","87","5.2","264","28-40","6.6","191","47","4.1","29","16","9","4","11","59","3","1","2"
"DEST","DEST","TEMP","0","59","93","53","1.8","67","12-23","2.9","26","30","0.9","7","2","2","3","6","35","4","1","3","351","61","5.8","179","16-21","8.5","172","40","4.3","19","8","11","0","8","69","2","0","2"
"TEMP2","TEMP","DEST","59","0","351","61","5.8","179","16-21","8.5","172","40","4.3","19","8","11","0","8","69","2","0","2","93","53","1.8","67","12-23","2.9","26","30","0.9","7","2","2","3","6","35","4","1","3"
"TXAM3","TXAM","SMETH","58","6","663","68","9.8","395","24-37","10.7","268","31","8.6","28","14","11","3","6","53","1","0","1","241","71","3.4","139","14-29","4.8","102","42","2.4","13","6","6","1","7","75","0","0","0"
"SMETH2","SMETH","TXAM","6","58","241","71","3.4","139","14-29","4.8","102","42","2.4","13","6","6","1","7","75","0","0","0","663","68","9.8","395","24-37","10.7","268","31","8.6","28","14","11","3","6","53","1","0","1"
"BALLST3","BALLST","TOL","23","34","351","69","5.1","176","15-27","6.5","175","42","4.2","23","11","10","2","4","40","0","0","0","470","69","6.8","152","13-22","6.9","318","47","6.8","23","7","15","1","4","37","2","1","1"
"TOL3","TOL","BALLST","34","23","470","69","6.8","152","13-22","6.9","318","47","6.8","23","7","15","1","4","37","2","1","1","351","69","5.1","176","15-27","6.5","175","42","4.2","23","11","10","2","4","40","0","0","0"
